ENSG00000000419	DPM1
ENSG00000000971	CFH
ENSG00000001497	LAS1L
ENSG00000002016	RAD52
ENSG00000002330	BAD
ENSG00000002549	LAP3
ENSG00000002726	AOC1
ENSG00000002822	MAD1L1
ENSG00000002834	LASP1
ENSG00000003056	M6PR
ENSG00000003400	CASP10
ENSG00000003402	CFLAR
ENSG00000003756	RBM5
ENSG00000004059	ARF5
ENSG00000004478	FKBP4
ENSG00000004487	KDM1A
ENSG00000004534	RBM6
ENSG00000004700	RECQL
ENSG00000004776	HSPB6
ENSG00000004864	SLC25A13
ENSG00000004897	CDC27
ENSG00000004961	HCCS
ENSG00000005007	UPF1
ENSG00000005022	SLC25A5
ENSG00000005075	POLR2J
ENSG00000005100	DHX33
ENSG00000005156	LIG3
ENSG00000005175	RPAP3
ENSG00000005249	PRKAR2B
ENSG00000005339	CREBBP
ENSG00000005379	BZRAP1
ENSG00000005381	MPO
ENSG00000005486	RHBDD2
ENSG00000005810	MYCBP2
ENSG00000005844	ITGAL
ENSG00000005882	PDK2
ENSG00000005884	ITGA3
ENSG00000005893	LAMP2
ENSG00000006025	OSBPL7
ENSG00000006074	CCL18
ENSG00000006125	AP2B1
ENSG00000006210	CX3CL1
ENSG00000006451	RALA
ENSG00000006606	CCL26
ENSG00000006638	TBXA2R
ENSG00000006712	PAF1
ENSG00000007080	CCDC124
ENSG00000007392	LUC7L
ENSG00000007545	CRAMP1L
ENSG00000007923	DNAJC11
ENSG00000007968	E2F2
ENSG00000008018	PSMB1
ENSG00000008394	MGST1
ENSG00000008441	NFIX
ENSG00000008952	SEC62
ENSG00000008988	RPS20
ENSG00000009307	CSDE1
ENSG00000009335	UBE3C
ENSG00000009954	BAZ1B
ENSG00000010017	RANBP9
ENSG00000010244	ZNF207
ENSG00000010256	UQCRC1
ENSG00000010278	CD9
ENSG00000010292	NCAPD2
ENSG00000010322	NISCH
ENSG00000010610	CD4
ENSG00000010671	BTK
ENSG00000010810	FYN
ENSG00000010818	HIVEP2
ENSG00000011007	TCEB3
ENSG00000011028	MRC2
ENSG00000011052	NME2
ENSG00000011243	AKAP8L
ENSG00000011275	RNF216
ENSG00000011304	PTBP1
ENSG00000011454	RABGAP1
ENSG00000011478	QPCTL
ENSG00000011638	TMEM159
ENSG00000012048	BRCA1
ENSG00000012223	LTF
ENSG00000012504	NR1H4
ENSG00000013275	PSMC4
ENSG00000013364	MVP
ENSG00000013523	ANGEL1
ENSG00000013573	DDX11
ENSG00000013583	HEBP1
ENSG00000013810	TACC3
ENSG00000014123	UFL1
ENSG00000014216	CAPN1
ENSG00000014824	SLC30A9
ENSG00000014919	COX15
ENSG00000015133	CCDC88C
ENSG00000015171	ZMYND11
ENSG00000015475	BID
ENSG00000015479	MATR3
ENSG00000015520	NPC1L1
ENSG00000017260	ATP2C1
ENSG00000018189	RUFY3
ENSG00000018408	WWTR1
ENSG00000018510	AGPS
ENSG00000018610	CXorf56
ENSG00000018625	ATP1A2
ENSG00000019169	MARCO
ENSG00000019582	CD74
ENSG00000020129	NCDN
ENSG00000020181	GPR124
ENSG00000020426	MNAT1
ENSG00000020922	MRE11A
ENSG00000021355	SERPINB1
ENSG00000021776	AQR
ENSG00000021826	CPS1
ENSG00000022267	FHL1
ENSG00000022840	RNF10
ENSG00000023191	RNH1
ENSG00000023228	NDUFS1
ENSG00000023318	ERP44
ENSG00000023445	BIRC3
ENSG00000023516	AKAP11
ENSG00000023734	STRAP
ENSG00000023902	PLEKHO1
ENSG00000024048	UBR2
ENSG00000024422	EHD2
ENSG00000025434	NR1H3
ENSG00000025796	SEC63
ENSG00000025800	KPNA6
ENSG00000026025	VIM
ENSG00000026103	FAS
ENSG00000026508	CD44
ENSG00000027075	PRKCH
ENSG00000027697	IFNGR1
ENSG00000028116	VRK2
ENSG00000028203	VEZT
ENSG00000028277	POU2F2
ENSG00000029363	BCLAF1
ENSG00000029639	TFB1M
ENSG00000030066	NUP160
ENSG00000030110	BAK1
ENSG00000030582	GRN
ENSG00000031698	SARS
ENSG00000032389	TSSC1
ENSG00000032444	PNPLA6
ENSG00000032742	IFT88
ENSG00000033011	ALG1
ENSG00000033050	ABCF2
ENSG00000033100	CHPF2
ENSG00000033170	FUT8
ENSG00000033627	ATP6V0A1
ENSG00000033800	PIAS1
ENSG00000034152	MAP2K3
ENSG00000034510	TMSB10
ENSG00000034693	PEX3
ENSG00000035403	VCL
ENSG00000035928	RFC1
