Gene stable ID	Gene name
ENSG00000000971	CFH
ENSG00000002016	RAD52
ENSG00000002330	BAD
ENSG00000002726	AOC1
ENSG00000002822	MAD1L1
ENSG00000003056	M6PR
ENSG00000003400	CASP10
ENSG00000003402	CFLAR
ENSG00000004478	FKBP4
ENSG00000004487	KDM1A
ENSG00000004700	RECQL
ENSG00000004897	CDC27
ENSG00000005022	SLC25A5
ENSG00000005075	POLR2J
ENSG00000005100	DHX33
ENSG00000005249	PRKAR2B
ENSG00000005339	CREBBP
ENSG00000005379	BZRAP1
ENSG00000005381	MPO
ENSG00000005810	MYCBP2
ENSG00000005844	ITGAL
ENSG00000005882	PDK2
ENSG00000005884	ITGA3
ENSG00000005893	LAMP2
ENSG00000006074	CCL18
ENSG00000006125	AP2B1
ENSG00000006210	CX3CL1
ENSG00000006606	CCL26
ENSG00000006712	PAF1
ENSG00000007968	E2F2
ENSG00000008441	NFIX
ENSG00000010017	RANBP9
ENSG00000010278	CD9
ENSG00000010610	CD4
ENSG00000010671	BTK
ENSG00000010810	FYN
ENSG00000010818	HIVEP2
ENSG00000011275	RNF216
ENSG00000012048	BRCA1
ENSG00000012223	LTF
ENSG00000012504	NR1H4
ENSG00000013364	MVP
ENSG00000013573	DDX11
ENSG00000013810	TACC3
ENSG00000014216	CAPN1
ENSG00000015133	CCDC88C
ENSG00000015171	ZMYND11
ENSG00000015475	BID
ENSG00000015479	MATR3
ENSG00000015520	NPC1L1
ENSG00000018189	RUFY3
ENSG00000018408	WWTR1
ENSG00000019169	MARCO
ENSG00000019582	CD74
ENSG00000020426	MNAT1
ENSG00000020922	MRE11A
ENSG00000021355	SERPINB1
ENSG00000022267	FHL1
ENSG00000022840	RNF10
ENSG00000023445	BIRC3
ENSG00000025434	NR1H3
ENSG00000025800	KPNA6
ENSG00000026025	VIM
ENSG00000026103	FAS
ENSG00000026508	CD44
ENSG00000027075	PRKCH
ENSG00000028116	VRK2
ENSG00000028277	POU2F2
ENSG00000029363	BCLAF1
ENSG00000030110	BAK1
ENSG00000030582	GRN
