	Id	FunctionName	n_candidates	mean_n_resample	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d
15	vip:0000016	VACV	7	4.80936	0.2015759684806304	0.8982620347593048	1.0	0.86520625	1.0	0.8982620347593048
14	vip:0000015	SV40	12	10.14184	0.30695386092278154	0.7974440511189776	1.0	0.7982413333333334	1.0	0.8506069878602428
5	vip:0000006	HBV	12	12.1528	0.5646287074258515	0.5598688026239476	1.0	0.5843215384615384	1.0	0.6890692955371662
1	vip:0000002	CORONAVIRUS	2	2.04292	0.6178076438471231	0.6619067618647627	1.0	0.7076857142857144	1.0	0.756464870702586
6	vip:0000007	HCMV	2	3.11774	0.8330233395332093	0.38453230935381294	1.0	0.44544500000000004	1.0	0.5127097458050839
3	vip:0000004	EBOV	2	3.2125	0.8405631887362253	0.36755264894702105	1.0	0.43602	1.0	0.5127097458050839
4	vip:0000005	EBV	48	54.98838	0.875022499550009	0.16029679406411873	1.0	0.202955	1.0	0.25647487050259
10	vip:0000011	HSV	13	17.65966	0.9176816463670726	0.1357372852542949	1.0	0.202955	1.0	0.24664395600976868
2	vip:0000003	DENV	3	5.87094	0.9480610387792244	0.1387372252554949	1.0	0.202955	1.0	0.24664395600976868
9	vip:0000010	HPV	35	45.21094	0.9662606747865042	0.0497990040199196	1.0	0.07958857142857143	1.0	0.11382629490267338
11	vip:0000012	HTLV	3	8.00758	0.9921601567968641	0.027999440011199778	1.0	0.041780000000000005	1.0	0.0746651733631994
13	vip:0000014	KSHV	25	37.28676	0.992440151196976	0.012799744005119898	1.0	0.023955999999999998	1.0	0.040959180816383674
8	vip:0000009	HIV	37	56.0254	0.998880022399552	0.001979960400791984	1.0	0.004355	1.0	0.007919841603167936
0	vip:0000001	ADV	4	13.9679	0.999720005599888	0.0010999780004399913	1.0	0.0026533333333333335	1.0	0.005866549335679953
7	vip:0000008	HCV	10	25.62022	0.999980000399992	0.0001399972000559989	1.0	0.00032	1.0	0.001119977600447991
12	vip:0000013	IAV	29	55.99272	1.0	1.999960000799984e-05	1.0	0.0	1.0	0.00031999360012799745
