Id	FunctionName	Annotation
hsa00010	Glycolysis_/_Gluconeogenesis	ACSS1
hsa00010	Glycolysis_/_Gluconeogenesis	ACSS2
hsa00010	Glycolysis_/_Gluconeogenesis	ADH1A
hsa00010	Glycolysis_/_Gluconeogenesis	ADH1B
hsa00010	Glycolysis_/_Gluconeogenesis	ADH4
hsa00010	Glycolysis_/_Gluconeogenesis	ADH5
hsa00010	Glycolysis_/_Gluconeogenesis	ADH6
hsa00010	Glycolysis_/_Gluconeogenesis	ADH7
hsa00010	Glycolysis_/_Gluconeogenesis	ADPGK
hsa00010	Glycolysis_/_Gluconeogenesis	AKR1A1
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH1A3
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH1B1
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH2
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH3A1
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH3A2
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH3B1
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH3B2
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH7A1
hsa00010	Glycolysis_/_Gluconeogenesis	ALDH9A1
hsa00010	Glycolysis_/_Gluconeogenesis	ALDOA
hsa00010	Glycolysis_/_Gluconeogenesis	ALDOB
hsa00010	Glycolysis_/_Gluconeogenesis	ALDOC
hsa00010	Glycolysis_/_Gluconeogenesis	BPGM
hsa00010	Glycolysis_/_Gluconeogenesis	DLAT
hsa00010	Glycolysis_/_Gluconeogenesis	DLD
hsa00010	Glycolysis_/_Gluconeogenesis	ENO1
hsa00010	Glycolysis_/_Gluconeogenesis	ENO2
hsa00010	Glycolysis_/_Gluconeogenesis	ENO3
hsa00010	Glycolysis_/_Gluconeogenesis	ENO4
hsa00010	Glycolysis_/_Gluconeogenesis	FBP1
hsa00010	Glycolysis_/_Gluconeogenesis	FBP2
hsa00010	Glycolysis_/_Gluconeogenesis	G6PC
hsa00010	Glycolysis_/_Gluconeogenesis	G6PC2
hsa00010	Glycolysis_/_Gluconeogenesis	G6PC3
hsa00010	Glycolysis_/_Gluconeogenesis	GALM
hsa00010	Glycolysis_/_Gluconeogenesis	GAPDH
hsa00010	Glycolysis_/_Gluconeogenesis	GAPDHS
hsa00010	Glycolysis_/_Gluconeogenesis	GCK
hsa00010	Glycolysis_/_Gluconeogenesis	GPI
hsa00010	Glycolysis_/_Gluconeogenesis	HK1
hsa00010	Glycolysis_/_Gluconeogenesis	HK2
hsa00010	Glycolysis_/_Gluconeogenesis	HK3
hsa00010	Glycolysis_/_Gluconeogenesis	HKDC1
hsa00010	Glycolysis_/_Gluconeogenesis	LDHA
hsa00010	Glycolysis_/_Gluconeogenesis	LDHAL6A
hsa00010	Glycolysis_/_Gluconeogenesis	LDHAL6B
hsa00010	Glycolysis_/_Gluconeogenesis	LDHB
hsa00010	Glycolysis_/_Gluconeogenesis	LDHC
hsa00010	Glycolysis_/_Gluconeogenesis	MINPP1
hsa00010	Glycolysis_/_Gluconeogenesis	PCK1
hsa00010	Glycolysis_/_Gluconeogenesis	PCK2
hsa00010	Glycolysis_/_Gluconeogenesis	PDHA2
hsa00010	Glycolysis_/_Gluconeogenesis	PDHB
hsa00010	Glycolysis_/_Gluconeogenesis	PDHX
hsa00010	Glycolysis_/_Gluconeogenesis	PFKL
hsa00010	Glycolysis_/_Gluconeogenesis	PFKM
hsa00010	Glycolysis_/_Gluconeogenesis	PFKP
hsa00010	Glycolysis_/_Gluconeogenesis	PGAM1
hsa00010	Glycolysis_/_Gluconeogenesis	PGAM2
hsa00010	Glycolysis_/_Gluconeogenesis	PGK2
hsa00010	Glycolysis_/_Gluconeogenesis	PGM1
hsa00010	Glycolysis_/_Gluconeogenesis	PGM2
hsa00010	Glycolysis_/_Gluconeogenesis	PKLR
hsa00010	Glycolysis_/_Gluconeogenesis	PKM
hsa00010	Glycolysis_/_Gluconeogenesis	TPI1
hsa00020	Citrate_cycle_(TCA_cycle)	ACLY
hsa00020	Citrate_cycle_(TCA_cycle)	ACO1
hsa00020	Citrate_cycle_(TCA_cycle)	ACO2
hsa00020	Citrate_cycle_(TCA_cycle)	CS
hsa00020	Citrate_cycle_(TCA_cycle)	DLAT
hsa00020	Citrate_cycle_(TCA_cycle)	DLD
hsa00020	Citrate_cycle_(TCA_cycle)	DLST
hsa00020	Citrate_cycle_(TCA_cycle)	FH
hsa00020	Citrate_cycle_(TCA_cycle)	IDH1
hsa00020	Citrate_cycle_(TCA_cycle)	IDH2
hsa00020	Citrate_cycle_(TCA_cycle)	IDH3A
hsa00020	Citrate_cycle_(TCA_cycle)	IDH3B
hsa00020	Citrate_cycle_(TCA_cycle)	MDH1
hsa00020	Citrate_cycle_(TCA_cycle)	MDH2
hsa00020	Citrate_cycle_(TCA_cycle)	OGDH
hsa00020	Citrate_cycle_(TCA_cycle)	OGDHL
hsa00020	Citrate_cycle_(TCA_cycle)	PC
hsa00020	Citrate_cycle_(TCA_cycle)	PCK1
hsa00020	Citrate_cycle_(TCA_cycle)	PCK2
hsa00020	Citrate_cycle_(TCA_cycle)	PDHA2
hsa00020	Citrate_cycle_(TCA_cycle)	PDHB
hsa00020	Citrate_cycle_(TCA_cycle)	PDHX
hsa00020	Citrate_cycle_(TCA_cycle)	SDHA
hsa00020	Citrate_cycle_(TCA_cycle)	SDHB
hsa00020	Citrate_cycle_(TCA_cycle)	SDHC
hsa00020	Citrate_cycle_(TCA_cycle)	SUCLA2
hsa00020	Citrate_cycle_(TCA_cycle)	SUCLG1
hsa00020	Citrate_cycle_(TCA_cycle)	SUCLG2
hsa00030	Pentose_phosphate_pathway	ALDOA
hsa00030	Pentose_phosphate_pathway	ALDOB
hsa00030	Pentose_phosphate_pathway	ALDOC
hsa00030	Pentose_phosphate_pathway	DERA
hsa00030	Pentose_phosphate_pathway	FBP1
hsa00030	Pentose_phosphate_pathway	FBP2
hsa00030	Pentose_phosphate_pathway	GLYCTK
hsa00030	Pentose_phosphate_pathway	GPI
hsa00030	Pentose_phosphate_pathway	H6PD
hsa00030	Pentose_phosphate_pathway	IDNK
hsa00030	Pentose_phosphate_pathway	PFKL
hsa00030	Pentose_phosphate_pathway	PFKM
hsa00030	Pentose_phosphate_pathway	PFKP
hsa00030	Pentose_phosphate_pathway	PGD
hsa00030	Pentose_phosphate_pathway	PGLS
hsa00030	Pentose_phosphate_pathway	PGM1
hsa00030	Pentose_phosphate_pathway	PGM2
hsa00030	Pentose_phosphate_pathway	PRPS1L1
hsa00030	Pentose_phosphate_pathway	RBKS
hsa00030	Pentose_phosphate_pathway	RPE
hsa00030	Pentose_phosphate_pathway	RPIA
hsa00030	Pentose_phosphate_pathway	TALDO1
hsa00030	Pentose_phosphate_pathway	TKT
hsa00030	Pentose_phosphate_pathway	TKTL2
hsa00040	Pentose_and_glucuronate_interconversions	AKR1A1
hsa00040	Pentose_and_glucuronate_interconversions	AKR1B1
hsa00040	Pentose_and_glucuronate_interconversions	AKR1B10
hsa00040	Pentose_and_glucuronate_interconversions	CRYL1
hsa00040	Pentose_and_glucuronate_interconversions	DCXR
hsa00040	Pentose_and_glucuronate_interconversions	DHDH
hsa00040	Pentose_and_glucuronate_interconversions	GUSB
hsa00040	Pentose_and_glucuronate_interconversions	ISPD
hsa00040	Pentose_and_glucuronate_interconversions	KL
hsa00040	Pentose_and_glucuronate_interconversions	RPE
hsa00040	Pentose_and_glucuronate_interconversions	SORD
hsa00040	Pentose_and_glucuronate_interconversions	UGDH
hsa00040	Pentose_and_glucuronate_interconversions	UGP2
hsa00040	Pentose_and_glucuronate_interconversions	UGT2A3
hsa00040	Pentose_and_glucuronate_interconversions	UGT2B10
hsa00040	Pentose_and_glucuronate_interconversions	UGT2B11
hsa00040	Pentose_and_glucuronate_interconversions	UGT2B15
hsa00040	Pentose_and_glucuronate_interconversions	UGT2B17
hsa00040	Pentose_and_glucuronate_interconversions	UGT2B28
hsa00040	Pentose_and_glucuronate_interconversions	UGT2B4
hsa00040	Pentose_and_glucuronate_interconversions	UGT2B7
hsa00040	Pentose_and_glucuronate_interconversions	XYLB
hsa00051	Fructose_and_mannose_metabolism	AKR1B1
hsa00051	Fructose_and_mannose_metabolism	AKR1B10
hsa00051	Fructose_and_mannose_metabolism	ALDOA
hsa00051	Fructose_and_mannose_metabolism	ALDOB
hsa00051	Fructose_and_mannose_metabolism	ALDOC
hsa00051	Fructose_and_mannose_metabolism	C12orf5
hsa00051	Fructose_and_mannose_metabolism	DAK
hsa00051	Fructose_and_mannose_metabolism	ENOSF1
hsa00051	Fructose_and_mannose_metabolism	FBP1
