Id	Annotation	FunctionName
hsa00010	ACSS1	Glycolysis_/_Gluconeogenesis
hsa00010	ACSS2	Glycolysis_/_Gluconeogenesis
hsa00010	ADH1A	Glycolysis_/_Gluconeogenesis
hsa00010	ADH1B	Glycolysis_/_Gluconeogenesis
hsa00010	ADH4	Glycolysis_/_Gluconeogenesis
hsa00010	ADH5	Glycolysis_/_Gluconeogenesis
hsa00010	ADH6	Glycolysis_/_Gluconeogenesis
hsa00010	ADH7	Glycolysis_/_Gluconeogenesis
hsa00010	ADPGK	Glycolysis_/_Gluconeogenesis
hsa00010	AKR1A1	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH1A3	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH1B1	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH2	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH3A1	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH3A2	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH3B1	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH3B2	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH7A1	Glycolysis_/_Gluconeogenesis
hsa00010	ALDH9A1	Glycolysis_/_Gluconeogenesis
hsa00010	ALDOA	Glycolysis_/_Gluconeogenesis
hsa00010	ALDOB	Glycolysis_/_Gluconeogenesis
hsa00010	ALDOC	Glycolysis_/_Gluconeogenesis
hsa00010	BPGM	Glycolysis_/_Gluconeogenesis
hsa00010	DLAT	Glycolysis_/_Gluconeogenesis
hsa00010	DLD	Glycolysis_/_Gluconeogenesis
hsa00010	ENO1	Glycolysis_/_Gluconeogenesis
hsa00010	ENO2	Glycolysis_/_Gluconeogenesis
hsa00010	ENO3	Glycolysis_/_Gluconeogenesis
hsa00010	ENO4	Glycolysis_/_Gluconeogenesis
hsa00010	FBP1	Glycolysis_/_Gluconeogenesis
hsa00010	FBP2	Glycolysis_/_Gluconeogenesis
hsa00010	G6PC	Glycolysis_/_Gluconeogenesis
hsa00010	G6PC2	Glycolysis_/_Gluconeogenesis
hsa00010	G6PC3	Glycolysis_/_Gluconeogenesis
hsa00010	GALM	Glycolysis_/_Gluconeogenesis
hsa00010	GAPDH	Glycolysis_/_Gluconeogenesis
hsa00010	GAPDHS	Glycolysis_/_Gluconeogenesis
hsa00010	GCK	Glycolysis_/_Gluconeogenesis
hsa00010	GPI	Glycolysis_/_Gluconeogenesis
hsa00010	HK1	Glycolysis_/_Gluconeogenesis
hsa00010	HK2	Glycolysis_/_Gluconeogenesis
hsa00010	HK3	Glycolysis_/_Gluconeogenesis
hsa00010	HKDC1	Glycolysis_/_Gluconeogenesis
hsa00010	LDHA	Glycolysis_/_Gluconeogenesis
hsa00010	LDHAL6A	Glycolysis_/_Gluconeogenesis
hsa00010	LDHAL6B	Glycolysis_/_Gluconeogenesis
hsa00010	LDHB	Glycolysis_/_Gluconeogenesis
hsa00010	LDHC	Glycolysis_/_Gluconeogenesis
hsa00010	MINPP1	Glycolysis_/_Gluconeogenesis
hsa00010	PCK1	Glycolysis_/_Gluconeogenesis
hsa00010	PCK2	Glycolysis_/_Gluconeogenesis
hsa00010	PDHA2	Glycolysis_/_Gluconeogenesis
hsa00010	PDHB	Glycolysis_/_Gluconeogenesis
hsa00010	PDHX	Glycolysis_/_Gluconeogenesis
hsa00010	PFKL	Glycolysis_/_Gluconeogenesis
hsa00010	PFKM	Glycolysis_/_Gluconeogenesis
hsa00010	PFKP	Glycolysis_/_Gluconeogenesis
hsa00010	PGAM1	Glycolysis_/_Gluconeogenesis
hsa00010	PGAM2	Glycolysis_/_Gluconeogenesis
hsa00010	PGK2	Glycolysis_/_Gluconeogenesis
hsa00010	PGM1	Glycolysis_/_Gluconeogenesis
hsa00010	PGM2	Glycolysis_/_Gluconeogenesis
hsa00010	PKLR	Glycolysis_/_Gluconeogenesis
hsa00010	PKM	Glycolysis_/_Gluconeogenesis
hsa00010	TPI1	Glycolysis_/_Gluconeogenesis
hsa00020	ACLY	Citrate_cycle_(TCA_cycle)
hsa00020	ACO1	Citrate_cycle_(TCA_cycle)
hsa00020	ACO2	Citrate_cycle_(TCA_cycle)
hsa00020	CS	Citrate_cycle_(TCA_cycle)
hsa00020	DLAT	Citrate_cycle_(TCA_cycle)
hsa00020	DLD	Citrate_cycle_(TCA_cycle)
hsa00020	DLST	Citrate_cycle_(TCA_cycle)
hsa00020	FH	Citrate_cycle_(TCA_cycle)
hsa00020	IDH1	Citrate_cycle_(TCA_cycle)
hsa00020	IDH2	Citrate_cycle_(TCA_cycle)
hsa00020	IDH3A	Citrate_cycle_(TCA_cycle)
hsa00020	IDH3B	Citrate_cycle_(TCA_cycle)
hsa00020	MDH1	Citrate_cycle_(TCA_cycle)
hsa00020	MDH2	Citrate_cycle_(TCA_cycle)
hsa00020	OGDH	Citrate_cycle_(TCA_cycle)
hsa00020	OGDHL	Citrate_cycle_(TCA_cycle)
hsa00020	PC	Citrate_cycle_(TCA_cycle)
hsa00020	PCK1	Citrate_cycle_(TCA_cycle)
hsa00020	PCK2	Citrate_cycle_(TCA_cycle)
hsa00020	PDHA2	Citrate_cycle_(TCA_cycle)
hsa00020	PDHB	Citrate_cycle_(TCA_cycle)
hsa00020	PDHX	Citrate_cycle_(TCA_cycle)
hsa00020	SDHA	Citrate_cycle_(TCA_cycle)
hsa00020	SDHB	Citrate_cycle_(TCA_cycle)
hsa00020	SDHC	Citrate_cycle_(TCA_cycle)
hsa00020	SUCLA2	Citrate_cycle_(TCA_cycle)
hsa00020	SUCLG1	Citrate_cycle_(TCA_cycle)
hsa00020	SUCLG2	Citrate_cycle_(TCA_cycle)
hsa00030	ALDOA	Pentose_phosphate_pathway
hsa00030	ALDOB	Pentose_phosphate_pathway
hsa00030	ALDOC	Pentose_phosphate_pathway
hsa00030	DERA	Pentose_phosphate_pathway
hsa00030	FBP1	Pentose_phosphate_pathway
hsa00030	FBP2	Pentose_phosphate_pathway
hsa00030	GLYCTK	Pentose_phosphate_pathway
hsa00030	GPI	Pentose_phosphate_pathway
hsa00030	H6PD	Pentose_phosphate_pathway
hsa00030	IDNK	Pentose_phosphate_pathway
hsa00030	PFKL	Pentose_phosphate_pathway
hsa00030	PFKM	Pentose_phosphate_pathway
hsa00030	PFKP	Pentose_phosphate_pathway
hsa00030	PGD	Pentose_phosphate_pathway
hsa00030	PGLS	Pentose_phosphate_pathway
hsa00030	PGM1	Pentose_phosphate_pathway
hsa00030	PGM2	Pentose_phosphate_pathway
hsa00030	PRPS1L1	Pentose_phosphate_pathway
hsa00030	RBKS	Pentose_phosphate_pathway
hsa00030	RPE	Pentose_phosphate_pathway
hsa00030	RPIA	Pentose_phosphate_pathway
hsa00030	TALDO1	Pentose_phosphate_pathway
hsa00030	TKT	Pentose_phosphate_pathway
hsa00030	TKTL2	Pentose_phosphate_pathway
hsa00040	AKR1A1	Pentose_and_glucuronate_interconversions
hsa00040	AKR1B1	Pentose_and_glucuronate_interconversions
hsa00040	AKR1B10	Pentose_and_glucuronate_interconversions
hsa00040	CRYL1	Pentose_and_glucuronate_interconversions
hsa00040	DCXR	Pentose_and_glucuronate_interconversions
hsa00040	DHDH	Pentose_and_glucuronate_interconversions
hsa00040	GUSB	Pentose_and_glucuronate_interconversions
hsa00040	ISPD	Pentose_and_glucuronate_interconversions
hsa00040	KL	Pentose_and_glucuronate_interconversions
hsa00040	RPE	Pentose_and_glucuronate_interconversions
hsa00040	SORD	Pentose_and_glucuronate_interconversions
hsa00040	UGDH	Pentose_and_glucuronate_interconversions
hsa00040	UGP2	Pentose_and_glucuronate_interconversions
hsa00040	UGT2A3	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B10	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B11	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B15	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B17	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B28	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B4	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B7	Pentose_and_glucuronate_interconversions
hsa00040	XYLB	Pentose_and_glucuronate_interconversions
hsa00051	AKR1B1	Fructose_and_mannose_metabolism
hsa00051	AKR1B10	Fructose_and_mannose_metabolism
hsa00051	ALDOA	Fructose_and_mannose_metabolism
hsa00051	ALDOB	Fructose_and_mannose_metabolism
hsa00051	ALDOC	Fructose_and_mannose_metabolism
hsa00051	C12orf5	Fructose_and_mannose_metabolism
hsa00051	DAK	Fructose_and_mannose_metabolism
hsa00051	ENOSF1	Fructose_and_mannose_metabolism
hsa00051	FBP1	Fructose_and_mannose_metabolism
hsa00051	FBP2	Fructose_and_mannose_metabolism
hsa00051	FPGT	Fructose_and_mannose_metabolism
hsa00051	FUK	Fructose_and_mannose_metabolism
hsa00051	GMDS	Fructose_and_mannose_metabolism
hsa00051	GMPPA	Fructose_and_mannose_metabolism
hsa00051	GMPPB	Fructose_and_mannose_metabolism
hsa00051	HK1	Fructose_and_mannose_metabolism
hsa00051	HK2	Fructose_and_mannose_metabolism
hsa00051	HK3	Fructose_and_mannose_metabolism
hsa00051	HKDC1	Fructose_and_mannose_metabolism
hsa00051	KHK	Fructose_and_mannose_metabolism
