Ensembl Gene ID	interactions information
ENSG00000000971	7492444-hiv1-ssRNART,17132743-wnv-ssRNA,
ENSG00000002016	19386720-ebv-dsDNA,
ENSG00000002330	17485524-vacv-dsDNA,
ENSG00000002726	10754391-hbv-dsDNART,
ENSG00000002822	9546394-htlv-ssRNART,
ENSG00000003056	22761827-hiv1-ssRNART,12021353-hsv-dsDNA,
ENSG00000003400	20042496-amdv-ssDNA,21454616-vacv-dsDNA,20042496-amdv-ssDNA,
ENSG00000003402	12727877-hbv-dsDNART,
ENSG00000004478	16828834-adv-dsDNA,
ENSG00000004487	18216119-dna-ebv-dsDNA,
ENSG00000004700	18199640-kshv-dsDNA,
ENSG00000004897	15623561-htlv-ssRNART,
ENSG00000005022	20953506-hcv-ssRNA,
ENSG00000005075	14573806-baculovirus-dsDNA,
ENSG00000005100	24037184-dsRNA,
ENSG00000005249	11414803-adv-dsDNA,
ENSG00000005339	15156194-htlv-ssRNART,11463834-htlv-ssRNART,11438528-sv40-dsDNA,
ENSG00000005379	17696407-kshv-dsDNA,
ENSG00000005381	11782930-hcmv-dsDNA,
ENSG00000005810	21911577-denv-ssRNA,
ENSG00000005844	10196251-hiv1-ssRNART,8312057-hiv1-siv-ssRNART,18020948-sarscov-ssRNA,
ENSG00000005882	22258240-chikv-ssRNA,
ENSG00000005884	19297475-adv-dsDNA,
ENSG00000005893	18032515-mlv-ssRNART,
ENSG00000006074	23950709-hsv-dsDNA,18208323-vacv-dsDNA,
ENSG00000006125	9882340-htlv-ssRNART,12058068-hiv1-ssRNART,
ENSG00000006210	23303826-hcmv-dsDNA,
ENSG00000006606	18208323-vacv-dsDNA,
ENSG00000006712	22419161-influenza-ssRNA,
ENSG00000007968	20410283-dna-bhv-dsDNA,
ENSG00000008441	9660824-dna-adv-mmtv-dsDNA,
ENSG00000010017	18455188-ebv-dsDNA,
ENSG00000010278	20727121-hiv1-ssRNART,18032515-mmlv-ssRNART,
ENSG00000010610	25423108-hiv1-ssRNART,10559275-hiv1-ssRNART,
ENSG00000010671	24722985-hiv1-ssRNART,
