id	feature	name
vip:0000001	ABAT	ADV
vip:0000001	ABHD12	ADV
vip:0000001	ANKRD13A	ADV
vip:0000001	ANP32A	ADV
vip:0000001	ATP2A2	ADV
vip:0000001	ATRIP	ADV
vip:0000001	ATXN2	ADV
vip:0000001	BAG3	ADV
vip:0000001	BIK	ADV
vip:0000001	BNIP3	ADV
vip:0000001	BSG	ADV
vip:0000001	CAD	ADV
vip:0000001	CARD10	ADV
vip:0000001	CASP8	ADV
vip:0000001	CCT6A	ADV
vip:0000001	CD80	ADV
vip:0000001	CD86	ADV
vip:0000001	CDC25A	ADV
vip:0000001	CDCP1	ADV
vip:0000001	CSPG4	ADV
vip:0000001	CSPP1	ADV
vip:0000001	CSRP2	ADV
vip:0000001	CTBP1	ADV
vip:0000001	CTBP2	ADV
vip:0000001	CUL1	ADV
vip:0000001	CXADR	ADV
vip:0000001	DDOST	ADV
vip:0000001	DEFA5	ADV
vip:0000001	DFFA	ADV
vip:0000001	DLG1	ADV
vip:0000001	DNAJC1	ADV
vip:0000001	DNMT1	ADV
vip:0000001	DOCK5	ADV
vip:0000001	DSG2	ADV
vip:0000001	DYRK1A	ADV
vip:0000001	DYRK1B	ADV
vip:0000001	E2F3	ADV
vip:0000001	E4F1	ADV
vip:0000001	EFCAB5	ADV
vip:0000001	ENG	ADV
vip:0000001	EPS8	ADV
vip:0000001	ERGIC1	ADV
vip:0000001	ESYT2	ADV
vip:0000001	ETV4	ADV
vip:0000001	F10	ADV
vip:0000001	F7	ADV
vip:0000001	FAM111A	ADV
vip:0000001	FAM195B	ADV
vip:0000001	FKBP4	ADV
vip:0000001	FOXK1	ADV
vip:0000001	FUBP3	ADV
vip:0000001	GJA1	ADV
vip:0000001	GLIPR1	ADV
vip:0000001	GLIPR2	ADV
vip:0000001	GNB1	ADV
vip:0000001	GNG2	ADV
vip:0000001	GTF2E1	ADV
vip:0000001	GTF2E2	ADV
vip:0000001	GZMB	ADV
vip:0000001	HSD17B4	ADV
vip:0000001	HSPB6	ADV
vip:0000001	IGF2BP2	ADV
vip:0000001	IGF2BP3	ADV
vip:0000001	IGF2R	ADV
vip:0000001	IKBIP	ADV
vip:0000001	IMMT	ADV
vip:0000001	ITGA3	ADV
vip:0000001	ITGB5	ADV
vip:0000001	KAT2A	ADV
vip:0000001	LAMTOR1	ADV
vip:0000001	LARP4	ADV
vip:0000001	LOX	ADV
vip:0000001	MAD2L2	ADV
vip:0000001	MBOAT7	ADV
vip:0000001	MDM4	ADV
vip:0000001	MED23	ADV
vip:0000001	MED26	ADV
vip:0000001	MED28	ADV
vip:0000001	MLEC	ADV
vip:0000001	MMP14	ADV
vip:0000001	MOGS	ADV
vip:0000001	MPDZ	ADV
vip:0000001	MPZL1	ADV
vip:0000001	MRE11A	ADV
vip:0000001	MSH3	ADV
vip:0000001	MSH6	ADV
vip:0000001	MTCH2	ADV
vip:0000001	MXRA8	ADV
vip:0000001	MYOF	ADV
vip:0000001	NBN	ADV
vip:0000001	NCEH1	ADV
vip:0000001	NDUFA4	ADV
vip:0000001	NFIA	ADV
vip:0000001	NFIB	ADV
vip:0000001	NFIX	ADV
vip:0000001	NPTN	ADV
vip:0000001	NUP205	ADV
vip:0000001	NXF1	ADV
vip:0000001	PBXIP1	ADV
vip:0000001	PDGFRB	ADV
vip:0000001	PGRMC2	ADV
vip:0000001	PHF13	ADV
vip:0000001	POU2F1	ADV
vip:0000001	PPM1B	ADV
vip:0000001	PPP2R2A	ADV
vip:0000001	PREB	ADV
vip:0000001	PRKAR1A	ADV
vip:0000001	PRKAR2A	ADV
vip:0000001	PRKAR2B	ADV
vip:0000001	PSMB10	ADV
vip:0000001	PSMC5	ADV
vip:0000001	PTK7	ADV
vip:0000001	PTPRC	ADV
vip:0000001	PTTG1IP	ADV
vip:0000001	RAB34	ADV
vip:0000001	RAB5C	ADV
vip:0000001	RAN	ADV
vip:0000001	RAP1A	ADV
vip:0000001	RARB	ADV
vip:0000001	RBBP8	ADV
vip:0000001	RBMS1	ADV
vip:0000001	RBMS2	ADV
vip:0000001	RBPMS	ADV
vip:0000001	RCN1	ADV
vip:0000001	RDH14	ADV
vip:0000001	RFTN1	ADV
vip:0000001	RNF20	ADV
vip:0000001	RTN4	ADV
vip:0000001	S100A6	ADV
vip:0000001	SACM1L	ADV
vip:0000001	SAE1	ADV
vip:0000001	SCAMP4	ADV
vip:0000001	SDHA	ADV
vip:0000001	SEC61B	ADV
vip:0000001	SLC2A1	ADV
vip:0000001	SLC9A3R2	ADV
vip:0000001	SORT1	ADV
vip:0000001	SPNS1	ADV
vip:0000001	SPRY1	ADV
vip:0000001	SQRDL	ADV
vip:0000001	SRCAP	ADV
vip:0000001	SRPR	ADV
vip:0000001	SRPRB	ADV
vip:0000001	SRSF1	ADV
vip:0000001	SRSF9	ADV
vip:0000001	STIM1	ADV
vip:0000001	STT3A	ADV
vip:0000001	TAF4	ADV
vip:0000001	TFDP1	ADV
vip:0000001	TMEM165	ADV
vip:0000001	TMEM30A	ADV
vip:0000001	TMEM43	ADV
vip:0000001	TMEM55A	ADV
vip:0000001	TMPO	ADV
vip:0000001	TMX3	ADV
vip:0000001	TPP1	ADV
vip:0000001	TRIM24	ADV
vip:0000001	TRIM33	ADV
vip:0000001	TRPV2	ADV
vip:0000001	TRRAP	ADV
vip:0000001	UBTF	ADV
vip:0000001	UPF1	ADV
vip:0000001	USMG5	ADV
vip:0000001	VKORC1	ADV
vip:0000001	WRN	ADV
vip:0000001	XPO5	ADV
vip:0000002	ABHD17A	CORONAVIRUS
vip:0000002	ANPEP	CORONAVIRUS
vip:0000002	ARL4D	CORONAVIRUS
vip:0000002	BAP1	CORONAVIRUS
vip:0000002	BRF1	CORONAVIRUS
vip:0000002	BZW2	CORONAVIRUS
vip:0000002	C1orf63	CORONAVIRUS
vip:0000002	C20orf27	CORONAVIRUS
vip:0000002	CHMP2B	CORONAVIRUS
vip:0000002	DCTN2	CORONAVIRUS
vip:0000002	DDX1	CORONAVIRUS
vip:0000002	DEDD2	CORONAVIRUS
vip:0000002	FAHD1	CORONAVIRUS
vip:0000002	H2AFY2	CORONAVIRUS
vip:0000002	HOXC6	CORONAVIRUS
vip:0000002	ISLR	CORONAVIRUS
vip:0000002	MARK2	CORONAVIRUS
vip:0000002	MARK3	CORONAVIRUS
vip:0000002	MIF4GD	CORONAVIRUS
vip:0000002	MKRN2	CORONAVIRUS
vip:0000002	MKRN3	CORONAVIRUS
vip:0000002	N4BP2L2	CORONAVIRUS
vip:0000002	NAE1	CORONAVIRUS
vip:0000002	NCOA5	CORONAVIRUS
vip:0000002	NMB	CORONAVIRUS
vip:0000002	NPHP3	CORONAVIRUS
vip:0000002	OCIAD2	CORONAVIRUS
vip:0000002	PLEKHO1	CORONAVIRUS
vip:0000002	POLR2B	CORONAVIRUS
vip:0000002	PSMA2	CORONAVIRUS
vip:0000002	RCAN3	CORONAVIRUS
vip:0000002	RPS20	CORONAVIRUS
vip:0000002	RYBP	CORONAVIRUS
vip:0000002	SLC46A3	CORONAVIRUS
vip:0000002	SMOC1	CORONAVIRUS
vip:0000002	SNAP47	CORONAVIRUS
vip:0000002	TBCB	CORONAVIRUS
vip:0000002	TPSAB1	CORONAVIRUS
vip:0000002	VKORC1	CORONAVIRUS
vip:0000002	ZCRB1	CORONAVIRUS
vip:0000002	ZNF410	CORONAVIRUS
vip:0000003	ABCD3	DENV
vip:0000003	ADCK3	DENV
vip:0000003	AKAP9	DENV
vip:0000003	ANKRD50	DENV
vip:0000003	ARF4	DENV
vip:0000003	ARHGEF2	DENV
vip:0000003	ATAD3A	DENV
vip:0000003	ATP2A2	DENV
vip:0000003	ATP6V1E1	DENV
vip:0000003	BIRC2	DENV
vip:0000003	BRAT1	DENV
vip:0000003	C1QA	DENV
vip:0000003	C1QB	DENV
vip:0000003	C1QC	DENV
vip:0000003	C1S	DENV
vip:0000003	C4BPA	DENV
vip:0000003	CAV1	DENV
vip:0000003	CCAR2	DENV
vip:0000003	COPG2	DENV
vip:0000003	COPS2	DENV
vip:0000003	CTNND1	DENV
vip:0000003	CYTIP	DENV
vip:0000003	DAXX	DENV
vip:0000003	DCUN1D4	DENV
vip:0000003	DDX5	DENV
vip:0000003	DPM1	DENV
vip:0000003	DYNC1H1	DENV
vip:0000003	EARS2	DENV
vip:0000003	EID1	DENV
vip:0000003	ERLIN2	DENV
vip:0000003	FAF2	DENV
vip:0000003	FAM192A	DENV
vip:0000003	FASN	DENV
vip:0000003	FCGR2A	DENV
vip:0000003	GAS6	DENV
vip:0000003	HEATR1	DENV
vip:0000003	HEATR2	DENV
vip:0000003	KIAA0368	DENV
vip:0000003	KIAA1524	DENV
vip:0000003	KNTC1	DENV
vip:0000003	KPNA2	DENV
vip:0000003	KPNB1	DENV
vip:0000003	MAPRE2	DENV
vip:0000003	MMS19	DENV
vip:0000003	MTOR	DENV
vip:0000003	MYCBP2	DENV
vip:0000003	NCAPG2	DENV
vip:0000003	NCLN	DENV
vip:0000003	NCR2	DENV
vip:0000003	NEFH	DENV
vip:0000003	NF1	DENV
vip:0000003	NFKBIB	DENV
vip:0000003	NOC4L	DENV
vip:0000003	NRBP1	DENV
vip:0000003	PHGDH	DENV
vip:0000003	PTBP1	DENV
vip:0000003	RILPL2	DENV
vip:0000003	RIMS2	DENV
vip:0000003	RNF213	DENV
vip:0000003	RPL18	DENV
vip:0000003	RPS27A	DENV
vip:0000003	SDC2	DENV
vip:0000003	SERPINH1	DENV
vip:0000003	SFXN1	DENV
vip:0000003	SLC25A11	DENV
vip:0000003	SLC25A13	DENV
vip:0000003	SLC25A22	DENV
vip:0000003	SLC25A3	DENV
vip:0000003	SLIRP	DENV
vip:0000003	SPTLC1	DENV
vip:0000003	STAT2	DENV
vip:0000003	SURF4	DENV
vip:0000003	TECR	DENV
vip:0000003	TELO2	DENV
vip:0000003	TIMM50	DENV
vip:0000003	TJP1	DENV
vip:0000003	TUBA1C	DENV
vip:0000003	TUBB	DENV
vip:0000003	UBR4	DENV
vip:0000003	XPO1	DENV
vip:0000003	XPO7	DENV
vip:0000003	XPOT	DENV
vip:0000003	ZBTB8OS	DENV
vip:0000003	ZNF394	DENV
vip:0000003	ZW10	DENV
vip:0000004	ADA	EBOV
vip:0000004	ATP1A1	EBOV
vip:0000004	ATP2A2	EBOV
vip:0000004	ATXN2L	EBOV
vip:0000004	BAZ1B	EBOV
vip:0000004	BLOC1S1	EBOV
vip:0000004	BSG	EBOV
vip:0000004	C10orf32	EBOV
vip:0000004	CCAR2	EBOV
vip:0000004	CCT7	EBOV
vip:0000004	CGGBP1	EBOV
vip:0000004	CLEC4G	EBOV
vip:0000004	CLEC6A	EBOV
vip:0000004	COX5B	EBOV
vip:0000004	EDC4	EBOV
vip:0000004	EEF1A2	EBOV
vip:0000004	GART	EBOV
vip:0000004	H2AFJ	EBOV
vip:0000004	H3F3A	EBOV
vip:0000004	H3F3C	EBOV
vip:0000004	HAVCR1	EBOV
vip:0000004	HIST1H2BL	EBOV
vip:0000004	HIST1H2BN	EBOV
