HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	Ensembl gene ID
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein	1	ENSG00000121410
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor	29974	ENSG00000148584
HGNC:7	Approved	A2M	alpha-2-macroglobulin	2	ENSG00000175899
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1	144568	ENSG00000166535
HGNC:30005	Approved	A3GALT2	alpha 1,3-galactosyltransferase 2	127550	ENSG00000184389
HGNC:18149	Approved	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	ENSG00000128274
HGNC:17968	Approved	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	ENSG00000118017
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin	8086	ENSG00000094914
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase	65985	ENSG00000081760
HGNC:17	Approved	AADAC	arylacetamide deacetylase	13	ENSG00000114771
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2	344752	ENSG00000197953
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3	126767	ENSG00000188984
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4	343066	ENSG00000204518
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase	51166	ENSG00000109576
HGNC:25662	Approved	AAGAB	alpha and gamma adaptin binding protein	79719	ENSG00000103591
HGNC:19679	Approved	AAK1	AP2 associated kinase 1	22848	ENSG00000115977
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing	28971	ENSG00000087884
HGNC:18	Approved	AAMP	angio associated migratory cell protein	14	ENSG00000127837
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase	15	ENSG00000129673
HGNC:15886	Approved	AAR2	AAR2 splicing factor	25980	ENSG00000131043
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	441376	ENSG00000205002
HGNC:20	Approved	AARS1	alanyl-tRNA synthetase 1	16	ENSG00000090861
HGNC:21022	Approved	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	ENSG00000124608
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	ENSG00000266967
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	ENSG00000157426
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	ENSG00000149313
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase	10157	ENSG00000008311
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor	26574	ENSG00000275700
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase	9625	ENSG00000181409
